model,provider,run_id,family,n_total,n_valid,coverage,accuracy_valid,balanced_accuracy,mcc,tpr,tnr,bias_score,bias_verdict,low_support,wilson_lo,wilson_hi
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,adversarial_misleading,12,12,1.0000,0.6667,0.6667,0.4472,0.3333,1.0,0.3333,LABEL-BIASED,yes,0.3906,0.8619
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,adversarial_nearmiss,11,11,1.0000,0.7273,0.7,0.5164,0.4,1.0,0.2727,LABEL-BIASED,yes,0.4343,0.9025
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,atomic,622,622,1.0000,0.6029,0.6035,0.2225,0.4199,0.7871,0.1849,LABEL-BIASED,no,,
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,consistency_paraphrase,102,102,1.0000,0.6569,0.6542,0.3207,0.52,0.7885,0.1275,OK,no,,
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,cross_indicator,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,extended_systems,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,fol_inference,43,43,1.0000,0.8140,0.8117,0.6373,0.7143,0.9091,0.093,OK,yes,0.6738,0.9026
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,indicator_diagnostic,12,12,1.0000,0.9167,0.9167,0.8452,0.8333,1.0,0.0833,OK,yes,0.6461,0.9851
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,multi_hop,147,147,1.0000,0.6599,0.6615,0.3689,0.4189,0.9041,0.2449,LABEL-BIASED,no,,
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,perturbation,48,48,1.0000,0.4583,0.4583,-0.0917,0.25,0.6667,0.2083,LABEL-BIASED,yes,0.3258,0.5971
qwen2.5:7b,ollama,20260219T193151Z_ollama_qwen2.5:7b,regime_transition,1,1,1.0000,0.0000,0.0,0.0,0.0,0.0,1.0,LABEL-BIASED,yes,0.0,0.7935
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,adversarial_misleading,12,12,1.0000,0.5833,0.5833,0.3015,0.1667,1.0,0.4167,LABEL-BIASED,yes,0.3195,0.8067
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,adversarial_nearmiss,11,11,1.0000,0.5455,0.5167,0.043,0.2,0.8333,0.2727,LABEL-BIASED,yes,0.2801,0.7873
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,atomic,622,622,1.0000,0.6158,0.6166,0.2758,0.3494,0.8839,0.2685,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,consistency_paraphrase,102,102,1.0000,0.5588,0.5523,0.1403,0.22,0.8846,0.3235,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,cross_indicator,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,extended_systems,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,fol_inference,43,43,1.0000,0.5814,0.5714,0.2803,0.1429,1.0,0.4186,LABEL-BIASED,yes,0.4333,0.7162
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,indicator_diagnostic,12,12,1.0000,0.5833,0.5833,0.3015,0.1667,1.0,0.4167,LABEL-BIASED,yes,0.3195,0.8067
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,multi_hop,147,147,1.0000,0.5578,0.5608,0.2536,0.1216,1.0,0.4422,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,perturbation,48,48,1.0000,0.6042,0.6042,0.2478,0.3333,0.875,0.2708,LABEL-BIASED,yes,0.4631,0.7298
llama3.1:8b,ollama,20260219T193320Z_ollama_llama3.1:8b,regime_transition,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,adversarial_misleading,12,12,1.0000,0.7500,0.75,0.5071,0.6667,0.8333,0.0833,OK,yes,0.4677,0.9111
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,adversarial_nearmiss,11,11,1.0000,0.7273,0.7167,0.4485,0.6,0.8333,0.0909,OK,yes,0.4343,0.9025
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,atomic,622,622,1.0000,0.6817,0.6818,0.365,0.6378,0.7258,0.045,OK,no,,
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,consistency_paraphrase,102,102,1.0000,0.6961,0.6938,0.3988,0.58,0.8077,0.1078,OK,no,,
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,cross_indicator,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,extended_systems,1,1,1.0000,1.0000,0.5,0.0,0.0,1.0,0.0,LABEL-BIASED,yes,0.2065,1.0
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,fol_inference,43,43,1.0000,0.9070,0.9048,0.8276,0.8095,1.0,0.093,OK,yes,0.784,0.9632
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,indicator_diagnostic,12,12,1.0000,0.8333,0.8333,0.7071,0.6667,1.0,0.1667,LABEL-BIASED,yes,0.552,0.953
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,multi_hop,147,147,1.0000,0.6803,0.6818,0.4053,0.4595,0.9041,0.2245,LABEL-BIASED,no,,
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,perturbation,48,48,1.0000,0.7292,0.7292,0.4792,0.5833,0.875,0.1458,OK,yes,0.59,0.8343
qwen2.5:14b,ollama,20260219T193425Z_ollama_qwen2.5:14b,regime_transition,1,1,1.0000,0.0000,0.0,0.0,0.0,0.0,1.0,LABEL-BIASED,yes,0.0,0.7935
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,adversarial_misleading,500,500,1.0000,0.6340,0.6366,0.3539,0.3175,0.9556,0.322,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,adversarial_nearmiss,478,478,1.0000,0.6506,0.641,0.3197,0.4105,0.8715,0.2155,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,atomic,25307,25305,0.9999,0.6012,0.6016,0.2299,0.3673,0.8359,0.235,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,consistency_paraphrase,4139,4139,1.0000,0.5847,0.5799,0.199,0.2829,0.8768,0.2902,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,cross_indicator,67,67,1.0000,0.4328,0.5,0.0,0.0,1.0,0.5672,LABEL-BIASED,yes,0.321,0.5519
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,extended_systems,45,45,1.0000,1.0000,1.0,1.0,1.0,1.0,0.0,OK,yes,0.9213,1.0
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,fol_inference,1758,1758,1.0000,0.5307,0.5757,0.2459,0.172,0.9795,0.4511,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,indicator_diagnostic,530,530,1.0000,0.4925,0.5109,0.103,0.0218,1.0,0.5075,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,multi_hop,6000,6000,1.0000,0.6312,0.5902,0.3286,0.1804,1.0,0.3688,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,perturbation,1994,1992,0.9990,0.6250,0.625,0.3288,0.3002,0.9498,0.3248,LABEL-BIASED,no,,
llama3.1:8b,ollama,20260220T104105Z_ollama_llama3.1:8b,regime_transition,68,68,1.0000,0.5441,0.5,0.0,0.0,1.0,0.4559,LABEL-BIASED,yes,0.4266,0.657
